Run   mass(M_Earth)  Period(days)   Eccentricity   Incl(deg)
079     7.20          63.48523      0.0220880       3.86310
080    14.00          11.14205      0.1549690      10.49620
080    12.40          32.97324      0.2026610      11.42190
080     7.20          82.63759      0.2042870       3.20870
081     5.60           2.62168      0.1021310       5.05830
081     9.20          16.25440      0.0700350       5.35450
081     6.00         167.67341      0.0751640       6.44120
081     8.40           6.72542      0.0737110       6.58240
081     7.20          33.38454      0.1025610       4.94780
081     4.80          62.85337      0.0614110       4.20170
082    18.80           9.07543      0.1417130       3.60890
082    12.40          33.93392      0.1218620       3.12180
082     6.00         111.39901      0.1657220       0.60520
083     5.60           2.34768      0.0322360       6.91370
083     9.20          20.45144      0.0115040       6.23780
083     8.00          43.98735      0.0166830       6.19840
083     7.20           5.63459      0.0199240       5.22950
083     4.00          60.30501      0.0348080       6.21370
083     7.60          11.83726      0.0436590       6.26130
084     4.40           2.91762      0.0920190       6.67990
084     6.80          53.07301      0.0346380       3.60870
084    11.60           7.75101      0.1737630       1.40210
084    18.40          19.08584      0.0562160       1.92490
084     4.40         112.61823      0.0357220       1.80030
085     4.80           3.04780      0.1579910       6.28950
085    18.00          30.93764      0.0595810       1.71990
085    13.60           9.75838      0.0145690       7.69770
086     4.40           5.74680      0.2175780       5.40130
086    10.00          11.93347      0.0778580       3.60440
086     9.20          20.25891      0.0475910       3.87550
086     5.60          38.74055      0.0434900       1.42250
086    12.80          82.04406      0.0420990       3.10490
087    12.80           7.34957      0.1163110       8.13940
087     4.00           2.97255      0.0315210       6.71510
087     6.00         152.19127      0.1750890       6.45260
087    16.40          20.00870      0.0453570       8.48320
088     4.80           5.38014      0.1784760       9.47940
088     9.60          10.30050      0.0927390       8.19960
088    15.60          25.54268      0.0255570       5.08540
088    12.00         125.05455      0.0432260       0.65820
089    20.80           5.46227      0.0757430       8.66930
089    17.20          28.05611      0.1039090       5.75850
090    14.40          15.52223      0.1822900       3.58530
090     8.40           6.46099      0.1450000       0.56810
090     6.40         141.19751      0.1849760       3.91430
090    10.80          37.34857      0.0964020      11.76600
091    12.80           8.99561      0.0674920       3.86450
091     6.40           3.27728      0.0491870       4.50890
091    12.80          19.13092      0.0645980       0.29070
091     8.80          42.09910      0.0544380       1.45120
092     5.20           3.45185      0.0203240       3.43840
092     4.40           9.47479      0.0229650       1.25870
092     6.00           6.33719      0.0131160       1.87910
092     9.20          12.71772      0.0228730       1.79280
092    12.80          21.24882      0.0100620       2.39100
092     0.80         158.85594      0.4563370       5.85890
092     4.00          15.89076      0.0467380       4.28900
093    14.80          14.49385      0.0616720       3.87690
093     8.00           6.64889      0.0775320       4.86520
093     2.00          87.07308      0.1118930      11.17140
093    11.60          22.01978      0.0503770       1.03460
094    12.00           4.40625      0.1685870       1.94210
094    22.40          16.12643      0.0985830       3.26490
094     6.40          49.10327      0.1626250       8.14630
094     1.60         141.00199      0.1982960       5.66450
095     2.00           4.50082      0.1865850       7.27920
095    18.80          12.20244      0.0981070       2.10910
095     8.40          78.01466      0.0454180       3.47350
095     6.80          40.97895      0.1449820       4.52430
095     3.60         183.35580      0.0732780       9.78340
096    14.00          27.41809      0.0482240       3.15340
096    12.40           5.31313      0.1464020       1.79040
096     7.20          84.53433      0.0746720       1.36670
096     9.20          12.34919      0.0417620       1.45040
097     9.20           4.23027      0.2653970      10.27620
097    17.20          30.59181      0.0074020       2.27370
097     4.80         175.01228      0.0538920       9.44770
097    11.60          12.76427      0.1976800       8.40110
098     4.00           4.26378      0.1329200       3.48300
098    12.80          11.55195      0.0866780       4.65440
098     6.00          62.40898      0.0434550       5.19410
098     6.00          23.99451      0.0507000       7.73390
098     8.80          30.16374      0.0289430       3.55530
099     5.20           6.62441      0.0141410       4.38050
099     5.20           3.48666      0.0781710       3.22700
099    11.20          43.36384      0.0406150       2.62160
099     3.60          10.34890      0.0432810       0.84680
099     4.40          27.72141      0.0366460       0.73720
099     8.40          19.70567      0.0301550       1.93410
099     3.60         115.62207      0.0975720       0.32360
100     7.20           4.78207      0.2989360       5.46080
100    11.20          39.29687      0.0853570       6.41170
100    18.40          16.62468      0.0649350       5.72080
100     2.80          84.55788      0.1125720       4.40520
101     3.20           2.29592      0.1194800       4.46730
101    11.20          18.65935      0.0172300       3.89630
101     5.20          50.50476      0.0297220       3.54880
101     7.20           4.79499      0.0457310       3.93770
101     5.60          10.52309      0.0222090       3.51990
101     5.60          25.47951      0.0522680       4.34010
102     4.00           1.52156      0.0676160       0.25280
102     8.40           3.57653      0.0269240       2.50410
102     5.60          15.79836      0.0370760       1.93510
102     9.20          22.93472      0.0214390       1.58980
102     4.00          41.32294      0.0333470       1.59660
102     8.40           9.75347      0.0690120       1.01420
102     5.20          55.35881      0.0377080       2.47430
103     3.60           4.36234      0.0178410       0.34980
103     3.20           6.63881      0.0342390       1.13140
103     5.60           9.43265      0.0170860       1.01220
103     9.20          15.58920      0.0168090       1.26350
103     7.60          21.27430      0.0359060       1.05990
103     8.40          50.87067      0.0184270       1.56910
103     4.00         108.29366      0.0615080       3.06330
104     4.00           2.64285      0.2013780       3.09570
104    12.80           7.31383      0.0190780       4.10890
104     4.40          50.69186      0.1378000       4.96760
104     4.00         110.10707      0.1327140       4.96530
104    18.80          20.56053      0.0546390       2.90680
105     3.60           2.83695      0.0433810       3.53740
105     4.40          42.60403      0.0523090       2.09680
105    10.00          10.62571      0.0217660       1.11160
105     9.60           6.50529      0.0918400       2.79950
105    17.20          19.47839      0.0091240       2.03580
106    17.60          13.78589      0.0402180       2.89270
106    16.40          48.05734      0.1175260       4.48050
107    10.00           5.12435      0.1474130       3.43620
107     6.00         114.49254      0.0107570       6.58050
107    10.40          21.91889      0.0262670       4.16740
107     8.00          51.04401      0.1059060       6.45940
107    10.40          12.23598      0.1061170       4.06910
108    10.40           3.39524      0.0060870       3.25300
108    16.40          26.59487      0.0308430       2.36210
108     1.20          71.26148      0.0905230      12.34670
108    10.00          11.56235      0.0267540       2.10750
109     4.00           4.53630      0.0025980       0.95340
109     3.60           2.69281      0.0028450       0.80690
109     6.00          31.29926      0.0203360       1.16480
109    12.40          20.78139      0.0147970       1.05190
109     8.00          12.01764      0.0035370       1.32970
109     5.60           7.01390      0.0017400       0.97730
109     1.20         120.88497      0.2864780      11.24330
110    20.80          11.35500      0.2232420      13.03030
110    16.40          82.09402      0.2660440      18.56760
111     3.60           2.12619      0.0744230       4.32420
111     6.80           5.04922      0.0307520       1.28860
111    17.20          29.11064      0.0370240       0.88530
111    11.60          12.00886      0.0497450       0.57610
112     4.00           6.88228      0.1866340       4.29500
112    19.60          16.17099      0.0752350       4.99530
112    18.00          49.79814      0.0268230       2.31650
113     2.80           2.36706      0.0436240       2.44090
113     6.00          47.71499      0.0612680       2.92320
113     6.80           5.61278      0.0407440       3.25600
113     6.80          12.08265      0.0929940       2.49350
113    18.40          19.43098      0.0155960       3.16130
114     7.20           4.77046      0.0835380       5.92520
114     5.20          39.06518      0.0236990       9.17530
114    10.80          11.48963      0.0584990       5.26940
114    12.00          25.18013      0.0091000       7.25880
115     9.20           4.70224      0.0391780       0.24560
115     7.60          10.39738      0.1969240      10.62530
115     5.20          71.17570      0.1222960       6.27020
115    17.20          22.76073      0.1023940       5.80740
116     4.80           4.78078      0.1320210      13.44390
116    20.40          12.04749      0.0898770       5.29320
116     8.40          37.09267      0.2098680       6.40820
116     8.80          94.41527      0.0744500       4.28640
117     7.60           2.64285      0.1524910       2.04670
117     9.60           7.38835      0.0210230       4.54990
117     2.40         199.85266      0.0284090      10.46790
117    10.40          25.09482      0.0384350       5.28940
117    11.20          12.43610      0.0326390       2.92360
118     5.60           3.16410      0.0278410       0.35580
118     2.40          10.56343      0.0354860       0.47920
118     4.00          63.95975      0.0038980       0.06120
118     5.60           6.33152      0.0043890       0.46750
118     8.40          21.15548      0.0207750       0.22280
118     4.80          31.79330      0.0077470       0.03180
118     0.80          63.98733      0.0054640       0.09240
118     9.60          14.09023      0.0163990       0.07590
119    11.60           8.59221      0.0315720       1.29010
119    11.20          17.27635      0.0550510       1.78580
119     8.00          92.37403      0.0696680       0.72500
119    12.80          33.93144      0.0228550       1.32770
120    21.60           6.80225      0.0114650       2.64930
120     6.00         106.88291      0.1139710       1.17440
120    10.40          27.80032      0.0427410       6.23550
121     4.80           5.43125      0.0979850       5.70450
121    10.80          28.25197      0.0187460       7.54320
121     3.60          75.59403      0.2232110      17.22660
121    18.00          12.25895      0.0877520       7.25950
122    12.80           8.16260      0.0151900       2.94440
122     8.00           4.07137      0.0710970       0.52230
122     6.00          40.70971      0.0262740       3.90180
122    12.80          20.70768      0.0222970       2.14770
123    13.60           7.14636      0.2099570       8.79300
123    20.80          25.29479      0.2363000       5.29010
124    17.60          26.13180      0.0756860       3.17290
124     2.40           4.49323      0.0691920       6.05760
124     9.60          63.11563      0.1035780       2.83710
124     7.20           9.65864      0.0301950       6.04420
125    24.00          11.25866      0.0581310      10.63880
125    11.20          45.37712      0.1987070      13.42570
126     6.40           3.51226      0.1236900       2.08790
126     2.40           2.20952      0.0714810       5.06260
126     1.20          75.55839      0.2008510      14.19560
126     8.00          21.88457      0.0250730       0.42540
126     7.20         168.35433      0.1619730       7.70100
126     6.40           7.46161      0.0626730       3.65060
126     8.40          14.43036      0.0406450       2.12880
127     4.00           4.81569      0.0931400       6.38130
127    20.40          17.29815      0.0466700       5.37450
127     9.20           8.87156      0.0851860       1.80330
127     6.40          45.64255      0.0899110       5.44420
128     8.40           4.39494      0.1566330       1.70100
128    17.20          14.05693      0.0514460       2.90290
128     6.40          37.87244      0.1236020       4.90900
128    10.80          97.21398      0.0758770       0.83830
129     3.20           2.32632      0.0452810       4.53490
129     3.60           6.68063      0.0260160       1.56470
129     5.60           4.02740      0.0147290       2.10760
129     6.40          10.59876      0.0170570       1.74140
129     3.60          15.90425      0.0266570       2.44120
129     5.60          42.67633      0.0191480       1.78660
129     2.00          32.01208      0.0440580       0.80720
129     2.40          31.73747      0.0341950       2.50450
129     8.80          21.17244      0.0103960       1.20470
130     6.40           6.32868      0.1328890       3.76240
130    19.60          15.70806      0.0147490       3.94220
130     6.00          33.23411      0.1188140       5.83240
130    10.80          75.63293      0.1099700       2.47870
131     2.40           2.18461      0.1288320       5.08520
131     8.00           9.43913      0.0218070       3.03680
131     6.40           4.24143      0.0622850       5.73320
131     9.20          19.47014      0.0676080       2.65820
131     8.80          29.58820      0.0287160       2.18060
131     5.20          61.50217      0.1498730       4.89820
132     1.60           3.99208      0.1614750      13.62400
132    14.80           8.61106      0.0260090       5.19630
132    19.20          26.38011      0.0038530       5.98400
132     6.00          74.88219      0.0971250       3.25230
133     4.80           3.85428      0.0907830       0.87460
133     4.00           6.12283      0.0288710       0.64000
133    16.80          18.87933      0.0329400       1.33600
133     6.00           9.90287      0.0406090       0.31880
133     7.20          34.08042      0.0157850       3.47660
134    15.20          20.91851      0.1315750      18.13220
134    21.20          56.42255      0.0237250       6.50140
135     4.40           3.12704      0.1916220       6.49140
135    12.40          46.25473      0.0428270       3.41870
135    14.40           7.64659      0.0534980       2.51930
135     8.80          19.21297      0.0420510       3.48450
136     7.60           3.80153      0.1256500       7.01910
136    10.80           8.75441      0.1130810       5.60830
136    11.60          18.83853      0.0666560       3.11160
136    10.40          50.99852      0.0889880       1.84280
137    20.00          36.48344      0.0737520      11.28400
137    16.80           7.81177      0.1650160      10.94430
138     3.60           6.01657      0.1353370       7.65730
138     8.40          20.36347      0.0820690       2.05250
138    19.60          61.65653      0.2283450       1.01770
139    11.20           3.82308      0.0524190       5.16340
139     6.00          31.46123      0.1481180       3.69930
139    15.60          15.65242      0.0413540       4.21210
139     3.20         108.12930      0.0678380       3.58100
140     6.40           3.93144      0.1506480       9.50900
140    16.00          18.47669      0.0839180       2.84940
140     8.00          10.09275      0.0282730       5.72790
140     6.40          67.10532      0.0203570       2.48510
140     6.40          40.53582      0.0598610       6.83460
